rep,model,seed,param,mean,sd,q025,q975,p_gt0,rhat,ess,divergences
4,weak,1028,prop_mediated,1.277049578174825,10.969571908988621,0.24290886300000003,4.882928547500003,0.98775,0.999933,3237.97,0
4,strong,1028,b1,0.6121215859975,0.10920918195005891,0.40331150125000004,0.8288565765000001,1.0,1.00015,3432.34,0
4,strong,1028,b2,0.4254495710285,0.11149663515919829,0.21220748075,0.6379711875,1.0,1.00173,2701.45,0
4,strong,1028,g1,0.0874623359106575,0.12769670511102604,-0.16036113824999998,0.3354563885,0.75175,1.00267,2569.96,0
4,strong,1028,gamma_M,0.13446814907011526,0.15747292061737553,-0.16728169075,0.45006131275000016,0.79925,1.0015,3004.88,0
4,strong,1028,gamma_Y,0.069306241278265,0.1537118473946983,-0.240234059,0.37405324725,0.67475,1.00037,3684.17,0
4,strong,1028,indirect_effect,0.259835774761,0.08130260800462905,0.117755303,0.43476345325,1.0,1.0004,2602.7,0
4,strong,1028,total_effect,0.347298110652825,0.12149881546463122,0.11262747149999999,0.5877290490000002,0.99825,1.00146,3860.31,0
4,strong,1028,prop_mediated,0.8707206458865,4.398421844119273,0.30434533025000005,2.0959213625,0.99825,1.00199,2362.1,0
5,weak,1035,b1,0.37772362785049496,0.1449238246305012,0.10052567887500001,0.6636698292500001,0.9955,1.00104,4698.95,0
5,weak,1035,b2,0.64295856868,0.14776962286529474,0.358187392,0.939762882,1.0,1.00064,3772.82,0
5,weak,1035,g1,-0.06274339875655875,0.17163213071300326,-0.40641789874999995,0.26248942324999996,0.36325,0.999574,3558.47,0
5,weak,1035,gamma_M,0.330969732133745,0.22495352449981032,-0.09268022987499999,0.7730380855000001,0.9305,1.00257,5743.4,0
5,weak,1035,gamma_Y,-0.18560115836110452,0.24442887701071056,-0.6547199094999999,0.2918241000000001,0.22675,1.00085,6346.89,0
5,weak,1035,indirect_effect,0.24218378323687,0.1101861799097334,0.06098715765,0.4855749365,0.9955,1.00131,4440.53,0
5,weak,1035,total_effect,0.17944038441668977,0.17592532452082013,-0.16728868525,0.52661847225,0.848,1.00001,4438.47,0
5,weak,1035,prop_mediated,14.088427546326777,792.6127709058211,-12.151862,12.03594105000001,0.85,1.00056,3989.55,0
5,strong,1035,b1,0.3347714165225875,0.11288712487756561,0.11317223075,0.5574571335,0.9995,1.00113,3060.59,0
5,strong,1035,b2,0.517704314167,0.11593830230475619,0.28622561975000005,0.7434917942500001,1.0,1.00086,3335.3,0
5,strong,1035,g1,0.056181083102370494,0.1250013805160958,-0.18143505125,0.29690048874999997,0.66975,1.00027,2748.11,0
5,strong,1035,gamma_M,0.24283112836820425,0.1511454285952638,-0.05088032429999999,0.539659725,0.9425,1.00002,2987.46,0
5,strong,1035,gamma_Y,0.001504546844299,0.15071868987091916,-0.28944838275,0.2926780165,0.504,1.001,2460.13,0
5,strong,1035,indirect_effect,0.17278736773035752,0.06971094627431461,0.05262214735,0.32316071400000007,0.9995,1.00001,3491.49,0
5,strong,1035,total_effect,0.22896845078626998,0.13431144343971838,-0.032783961625,0.4931088445,0.958,1.00098,3070.32,0
5,strong,1035,prop_mediated,0.8830701955696499,6.254301894318292,-1.9807628525,4.570225110000003,0.958,1.00059,2933.36,0
6,weak,1042,b1,0.38502345156752504,0.14423998746579592,0.113444948,0.6873458022500001,0.997,0.999976,3756.7,0
6,weak,1042,b2,0.31379413924058003,0.12285485493788188,0.073990053975,0.5554439830000001,0.9945,1.00149,4635.33,0
6,weak,1042,g1,0.08270068046671351,0.15016631335429237,-0.2090129315,0.37665276075000004,0.70275,1.00124,4027.88,0
6,weak,1042,gamma_M,-0.3426684533822674,0.23631576648791822,-0.8051105795,0.12880080100000005,0.0735,1.00012,4850.56,0
