scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,100,0,0.3,0.3,0.09,0.19091260933118276,1,0.5192775390174957,0,0.22985543153860255,1,0.5866351274339398,0,,,,,,
small,100,1,0.3,0.3,0.09,0.2436455890721702,1,0.2963941339809848,1,0.31249634580941255,1,0.2480480391731991,1,,,,,,
small,100,2,0.3,0.3,0.09,0.2785832867366277,1,0.19846707433627958,1,0.2671829397913307,1,0.37724647530564154,1,,,,,,
small,100,3,0.3,0.3,0.09,0.13179432145841508,1,0.3708125602506501,1,0.16878888987385596,1,0.36530581650846367,1,,,,,,
small,100,4,0.3,0.3,0.09,0.20740445188735931,1,0.38273745322506186,1,0.31596860302163104,1,0.3742343102305743,1,,,,,,
small,100,5,0.3,0.3,0.09,0.2866082271800357,1,0.4625178682773269,1,0.45724395346882585,1,0.43540688221163204,1,,,,,,
small,100,6,0.3,0.3,0.09,0.17296439553602042,1,0.4980853927505781,1,0.23195596507145708,1,0.4467480465508451,1,,,,,,
small,100,7,0.3,0.3,0.09,0.2885180067161874,1,0.10792301234076261,1,0.30894938053382337,1,0.159786992347999,1,,,,,,
small,100,8,0.3,0.3,0.09,0.39972524015579536,1,0.19362325411083592,1,0.31877901979426204,1,0.27089606276074796,1,,,,,,
small,100,9,0.3,0.3,0.09,0.134105841860709,1,0.33083298815320467,1,0.08795212974013736,1,0.450382444031042,1,,,,,,
small,100,10,0.3,0.3,0.09,0.3399302729747616,1,0.45746062889765604,1,0.23809719357715958,1,0.35632812249449874,1,,,,,,
small,100,11,0.3,0.3,0.09,0.2344526472348131,1,0.30026828232601704,1,0.2933521578027188,1,0.3343744760434165,1,,,,,,
small,100,12,0.3,0.3,0.09,0.3868493947200528,1,0.4677269915729242,1,0.39822985784799997,1,0.3814028478435161,1,,,,,,
small,100,13,0.3,0.3,0.09,0.4273792883931412,1,0.42588648639898513,1,0.3868723084890259,1,0.34043839699008105,1,,,,,,
small,100,14,0.3,0.3,0.09,0.34672059663789795,1,0.32641554450530763,1,0.3922903044972227,1,0.43973955646854546,1,,,,,,
small,100,15,0.3,0.3,0.09,0.20945687316831363,1,0.25343573368940037,1,0.07733955290768402,0,0.23968122700596148,1,,,,,,
small,100,16,0.3,0.3,0.09,0.1640920008614924,1,0.2503000797845473,1,0.2301943808538921,1,0.3767849745517308,1,,,,,,
small,100,17,0.3,0.3,0.09,0.2302754696785273,1,0.16562209198607386,1,0.3634630160916853,1,0.26160199694899056,1,,,,,,
small,100,18,0.3,0.3,0.09,0.21989758662655817,1,0.4392637962295337,1,0.32708944423458874,1,0.41855504046348735,1,,,,,,
small,100,19,0.3,0.3,0.09,0.15557958261317936,1,0.08734662036320029,1,0.2462286678614747,1,0.20896595318930114,1,,,,,,
small,100,20,0.3,0.3,0.09,0.17685993586715487,1,0.20419145708517975,1,0.20569623663153014,1,0.25332594778830747,1,,,,,,
small,100,21,0.3,0.3,0.09,0.23842445486229646,1,0.17852872951573479,1,0.2560113341030504,1,0.2154728913883324,1,,,,,,
small,100,22,0.3,0.3,0.09,0.18680241169966402,1,0.23615185057269256,1,0.2797519246303321,1,0.21442940791761156,1,,,,,,
small,100,23,0.3,0.3,0.09,0.2897409972245982,1,0.21559058515916313,1,0.2610141964691475,1,0.2622127950568644,1,,,,,,
small,100,24,0.3,0.3,0.09,0.33551900502179755,1,0.3382598302980694,1,0.3678853703700838,1,0.4271833021102006,1,,,,,,
small,100,25,0.3,0.3,0.09,0.42175477004738404,1,0.1142645903388455,1,0.46161118714469823,1,0.18005252682470294,1,,,,,,
small,100,26,0.3,0.3,0.09,0.3299437681695994,1,0.2243312771839313,1,0.3875664654565192,1,0.24696423378890398,1,,,,,,
small,100,27,0.3,0.3,0.09,0.1096313352321377,1,0.32505935224095894,1,0.15045808227542104,1,0.3639872187239549,1,,,,,,
small,100,28,0.3,0.3,0.09,0.12477244344728403,1,0.3649573895218596,1,0.19940626979167025,1,0.38020167471705757,1,,,,,,
small,100,29,0.3,0.3,0.09,0.3209726516818912,1,0.127630808765519,1,0.2876828752839221,1,0.1704577816432676,1,,,,,,
small,100,30,0.3,0.3,0.09,0.041316770483718,0,0.26573158930448887,1,0.10024837146019716,1,0.30453975523551463,1,,,,,,
small,100,31,0.3,0.3,0.09,0.08468750761555985,1,0.23476989618805483,1,0.23436362893387022,1,0.25381185074413337,1,,,,,,
small,100,32,0.3,0.3,0.09,0.17388158301485404,1,0.25960768394059625,1,0.2424464979529335,1,0.2950399900133513,1,,,,,,
small,100,33,0.3,0.3,0.09,0.3210083321941391,1,0.30493762805774405,1,0.4143414648175202,1,0.31011299347915494,1,,,,,,
small,100,34,0.3,0.3,0.09,0.22194606685721469,1,0.19145175263505362,1,0.19132817792647142,1,0.29080108263586396,1,,,,,,
small,100,35,0.3,0.3,0.09,0.23174720924272402,1,0.2599770405196101,1,0.3115763572370283,1,0.31403048588234905,1,,,,,,
small,100,36,0.3,0.3,0.09,0.2967692641074821,1,0.558215037800777,0,0.3816347657009042,1,0.5251971051506228,0,,,,,,
small,100,37,0.3,0.3,0.09,0.11660863154312935,1,0.3669750143004278,1,0.13817696921758688,1,0.3913651006851842,1,,,,,,
small,100,38,0.3,0.3,0.09,0.24805055993262987,1,0.07789622202992055,0,0.35909401915367495,1,0.2818635242033321,1,,,,,,
